protocol,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,label
udp,dns,0.022490,43,111,SF,-
udp,dns,0.011272,36,68,SF,-
udp,dns,0.005843,36,68,SF,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
udp,dhcp,59.330210,3000,0,S0,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
icmp,-,0.017387,560,560,OTH,-
udp,-,0.192012,48,48,SF,-
udp,-,0.194384,48,48,SF,-
tcp,-,-,-,-,SH,-
udp,dns,0.010912,41,57,SF,-
udp,dhcp,59.780831,3000,0,S0,-
tcp,ssl,299.896211,13395,4865,SF,-
udp,dns,0.010136,46,62,SF,-
tcp,ssl,59.252172,16824,4865,RSTR,-
udp,dhcp,58.676946,3000,0,S0,-
tcp,-,0.238593,0,0,SF,-
tcp,-,0.240306,0,0,SF,-
tcp,http,300.428794,146,775,SF,-
tcp,-,0.364352,0,0,SF,-
udp,dns,0.013047,43,111,SF,-
tcp,-,-,-,-,SH,-
tcp,http,0.227328,157,371,SF,-
tcp,-,-,-,-,SH,-
udp,dns,0.013023,40,56,SF,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
icmp,-,0.035211,560,560,OTH,-
udp,-,0.190866,48,48,SF,-
udp,-,-,-,-,S0,-
tcp,-,-,-,-,SH,-
udp,dhcp,60.359848,3000,0,S0,-
tcp,ssl,8.929202,1094,5864,S3,-
udp,dhcp,60.858140,3000,0,S0,-
udp,dns,-,-,-,S0,-
udp,dns,-,-,-,S0,-
udp,dns,-,-,-,S0,-
udp,dns,0.013883,46,62,SF,-
tcp,-,0.239358,0,0,SF,-
tcp,-,0.244650,0,0,SF,-
tcp,http,300.489266,146,775,SF,-
tcp,-,0.287392,0,0,SF,-
udp,dns,0.017694,43,111,SF,-
tcp,-,-,-,-,SH,-
tcp,http,0.228038,135,238,SF,-
udp,dns,0.011085,40,56,SF,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
tcp,ssl,48.042781,12910,4865,RSTR,-
icmp,-,0.016492,560,560,OTH,-
udp,-,-,-,-,S0,-
udp,-,0.190785,48,48,SF,-
udp,dhcp,60.042529,3000,0,S0,-
tcp,-,-,-,-,SH,-
udp,dhcp,59.470598,3000,0,S0,-
udp,dns,7.009107,804,0,S0,-
udp,dns,7.009115,804,0,S0,-
udp,dns,7.008969,804,0,S0,-
tcp,-,0.245414,0,0,SF,-
tcp,-,0.254768,0,0,SF,-
tcp,http,300.479358,146,775,SF,-
tcp,-,0.241876,0,0,SF,-
udp,dns,0.032497,43,111,SF,-
udp,dns,0.012627,36,68,SF,-
tcp,-,-,-,-,SH,-
tcp,http,0.260110,135,238,SF,-
tcp,-,-,-,-,SH,-
udp,dhcp,60.077532,3000,0,S0,-
udp,dns,0.013781,40,56,SF,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
icmp,-,0.014787,560,560,OTH,-
udp,-,-,-,-,S0,-
udp,-,0.194712,48,48,SF,-
tcp,-,0.125938,259,110,OTH,-
tcp,-,-,-,-,SH,-
tcp,ssl,1322.836876,8023,10166,S1,-
udp,dhcp,58.590312,3000,0,S0,-
udp,dns,0.013280,46,62,SF,-
udp,dhcp,60.314890,3000,0,S0,-
tcp,-,0.241322,0,0,SF,-
tcp,-,0.241889,0,0,SF,-
tcp,http,300.505646,146,775,SF,-
tcp,-,0.243299,0,0,SF,-
udp,dns,0.012586,43,111,SF,-
tcp,-,-,-,-,SH,-
tcp,http,0.250264,135,238,SF,-
tcp,-,-,-,-,SH,-
udp,dns,0.014411,40,56,SF,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
icmp,-,0.016615,560,560,OTH,-
udp,-,-,-,-,S0,-
udp,-,0.194881,48,48,SF,-
tcp,-,-,-,-,SH,-
udp,dhcp,59.430869,3000,0,S0,-
tcp,ssl,8.759049,3669,4865,S3,-
udp,dhcp,60.232436,3000,0,S0,-
tcp,-,0.112920,53,0,RSTR,-
udp,dns,0.013093,46,62,SF,-
tcp,-,0.239277,0,0,SF,-
tcp,-,0.242570,0,0,SF,-
tcp,http,300.493854,146,775,SF,-
tcp,-,0.246877,0,0,SF,-
udp,dns,0.011667,43,111,SF,-
tcp,-,-,-,-,SH,-
tcp,http,0.238896,135,238,SF,-
tcp,http,0.240237,157,371,SF,-
tcp,-,-,-,-,SH,-
udp,dns,0.009575,40,56,SF,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
udp,dhcp,58.276186,3000,0,S0,-
icmp,-,0.021156,560,560,OTH,-
udp,-,-,-,-,S0,-
udp,-,-,-,-,S0,-
tcp,-,-,-,-,SH,-
udp,dns,0.101131,639,0,S0,-
udp,dns,0.101212,639,0,S0,-
udp,dns,0.101074,792,0,S0,-
udp,dhcp,61.135330,3000,0,S0,-
udp,dns,7.005609,804,0,S0,-
udp,dns,7.005607,804,0,S0,-
udp,dns,7.005606,804,0,S0,-
tcp,ssl,8.800505,10217,4865,S3,-
tcp,-,0.260344,0,0,SF,-
tcp,-,0.241357,0,0,SF,-
tcp,http,300.502970,146,775,SF,-
tcp,-,0.246033,0,0,SF,-
udp,dns,0.021153,43,111,SF,-
udp,dns,0.010439,36,68,SF,-
tcp,-,-,-,-,SH,-
udp,dhcp,58.869465,3000,0,S0,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
icmp,-,0.015672,560,560,OTH,-
udp,-,0.191154,48,48,SF,-
udp,-,0.191421,48,48,SF,-
tcp,-,0.113245,53,0,RSTR,-
tcp,-,-,-,-,SH,-
udp,dns,0.016309,46,62,SF,-
udp,dhcp,58.543924,3000,0,S0,-
tcp,ssl,51.453795,27361,4865,RSTR,-
tcp,-,0.121012,241,92,OTH,-
udp,dhcp,60.357420,3000,0,S0,-
tcp,-,0.241427,0,0,SF,-
tcp,-,0.238960,0,0,SF,-
tcp,http,300.450301,146,775,SF,-
tcp,-,0.239545,0,0,SF,-
udp,dns,0.012289,43,111,SF,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
icmp,-,0.015593,560,560,OTH,-
udp,-,0.193710,48,48,SF,-
udp,-,0.192879,48,48,SF,-
tcp,-,-,-,-,SH,-
udp,dns,0.011512,46,62,SF,-
udp,dhcp,60.330057,3000,0,S0,-
tcp,ssl,0.185994,717,5321,RSTR,-
udp,dns,0.061655,46,110,SF,-
udp,dhcp,60.218339,3000,0,S0,-
tcp,-,0.119112,259,110,OTH,-
tcp,-,0.240256,0,0,SF,-
tcp,-,0.243473,0,0,SF,-
tcp,http,300.490965,146,775,SF,-
tcp,-,0.241452,0,0,SF,-
udp,dns,0.015111,43,111,SF,-
tcp,-,-,-,-,SH,-
tcp,http,0.237609,157,371,SF,-
tcp,-,-,-,-,SH,-
udp,dns,0.010534,40,56,SF,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
udp,dhcp,58.942291,3000,0,S0,-
icmp,-,0.016489,560,560,OTH,-
udp,-,0.191363,48,48,SF,-
udp,-,-,-,-,S0,-
tcp,ssl,8.727236,3669,4865,S3,-
tcp,-,-,-,-,SH,-
tcp,ssl,0.704134,894,3694,RSTO,-
udp,dns,0.070360,36,52,SF,-
tcp,ssl,300.961256,707,3688773,RSTR,-
udp,dhcp,60.311194,3000,0,S0,-
tcp,-,0.161145,53,0,RSTR,-
udp,dns,0.090451,46,62,SF,-
tcp,ssl,37.194441,10441,4865,RSTR,-
udp,dns,7.000920,804,0,S0,-
udp,dns,7.000914,804,0,S0,-
udp,dns,7.000913,804,0,S0,-
tcp,-,0.234474,0,0,SF,-
tcp,-,0.235871,0,0,SF,-
tcp,http,300.473354,146,775,SF,-
tcp,-,0.241316,0,0,SF,-
udp,dns,0.012610,43,111,SF,-
udp,dns,0.010755,36,68,SF,-
udp,dns,0.005238,36,68,SF,-
tcp,-,-,-,-,SH,-
udp,dhcp,60.058384,3000,0,S0,-
tcp,http,0.231042,135,238,SF,-
tcp,http,0.313423,157,371,SF,-
tcp,-,-,-,-,SH,-
udp,dns,0.014673,40,56,SF,-
udp,dns,0.014781,40,56,SF,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
icmp,-,0.042858,560,560,OTH,-
udp,-,-,-,-,S0,-
udp,-,-,-,-,S0,-
tcp,-,-,-,-,SH,-
tcp,ssl,300.999316,830,69860,RSTR,-
udp,dhcp,59.988970,3000,0,S0,-
udp,dns,0.011512,46,62,SF,-
udp,dhcp,59.710171,3000,0,S0,-
tcp,-,0.124834,241,92,OTH,-
tcp,-,0.259867,0,0,SF,-
tcp,-,0.239399,0,0,SF,-
tcp,http,300.480957,146,775,SF,-
tcp,-,0.356058,0,0,SF,-
udp,dns,0.020922,43,111,SF,-
tcp,-,-,-,-,SH,-
tcp,http,0.234884,135,238,SF,-
udp,dns,0.011690,40,56,SF,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
icmp,-,0.030928,560,560,OTH,-
udp,-,-,-,-,S0,-
udp,-,0.193791,48,48,SF,-
tcp,-,-,-,-,SH,-
udp,dhcp,58.165319,3000,0,S0,-
tcp,ssl,300.040156,3690,4865,SF,-
udp,dns,0.011198,46,62,SF,-
udp,dhcp,59.595124,3000,0,S0,-
tcp,ssl,32.037565,4789,4865,RSTR,-
tcp,-,0.234996,0,0,SF,-
tcp,-,0.241617,0,0,SF,-
tcp,http,300.443323,146,775,SF,-
tcp,-,0.240529,0,0,SF,-
udp,dns,0.014850,43,111,SF,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
udp,dhcp,60.020988,3000,0,S0,-
icmp,-,0.017386,560,560,OTH,-
udp,-,0.190131,48,48,SF,-
udp,-,0.257034,48,48,SF,-
tcp,-,-,-,-,SH,-
udp,dhcp,59.919783,3000,0,S0,-
udp,dns,0.013698,46,62,SF,-
udp,dns,7.003134,804,0,S0,-
udp,dns,7.003287,804,0,S0,-
udp,dns,7.003325,804,0,S0,-
tcp,-,0.241904,0,0,SF,-
tcp,-,0.245477,0,0,SF,-
tcp,http,300.441667,146,775,SF,-
tcp,-,0.244816,0,0,SF,-
udp,dhcp,59.695859,3000,0,S0,-
udp,dns,0.012385,43,111,SF,-
udp,dns,0.011188,36,68,SF,-
tcp,-,-,-,-,SH,-
tcp,http,0.240893,135,238,SF,-
tcp,http,0.252087,157,371,SF,-
tcp,-,-,-,-,SH,-
udp,dns,0.013970,40,56,SF,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
icmp,-,0.011492,560,560,OTH,-
udp,-,-,-,-,S0,-
udp,-,-,-,-,S0,-
tcp,-,-,-,-,SH,-
udp,dns,-,-,-,S0,-
udp,dns,-,-,-,S0,-
udp,dns,-,-,-,S0,-
udp,dhcp,58.826916,3000,0,S0,-
tcp,ssl,8.758488,6831,4865,S3,-
udp,dhcp,60.670787,3000,0,S0,-
tcp,-,0.240411,0,0,SF,-
tcp,-,0.246368,0,0,SF,-
tcp,http,300.463883,146,775,SF,-
tcp,-,0.248071,0,0,SF,-
tcp,-,0.115086,259,110,OTH,-
udp,dns,0.013631,43,111,SF,-
tcp,-,-,-,-,SH,-
tcp,http,0.275087,135,238,SF,-
tcp,http,0.288113,157,371,SF,-
tcp,-,-,-,-,SH,-
udp,dns,0.011098,40,56,SF,-
udp,dns,0.011173,40,56,SF,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
icmp,-,0.014213,560,560,OTH,-
udp,-,-,-,-,S0,-
udp,-,-,-,-,S0,-
tcp,-,0.116098,53,0,RSTR,-
udp,dhcp,60.233848,3000,0,S0,-
udp,dns,0.018503,46,62,SF,-
tcp,-,-,-,-,SH,-
udp,dhcp,59.204685,3000,0,S0,-
tcp,-,0.305297,0,0,SF,-
tcp,-,0.244991,0,0,SF,-
tcp,http,300.533946,146,775,SF,-
tcp,-,0.241920,0,0,SF,-
udp,dns,0.013390,43,111,SF,-
tcp,-,-,-,-,SH,-
tcp,http,0.234644,157,371,SF,-
tcp,http,0.243804,135,238,SF,-
tcp,-,-,-,-,SH,-
udp,dns,0.050688,40,56,SF,-
udp,dns,0.047712,40,56,SF,-
tcp,-,-,-,-,SH,-
udp,dhcp,59.994427,3000,0,S0,-
tcp,-,-,-,-,SH,-
icmp,-,0.014001,560,560,OTH,-
udp,-,-,-,-,S0,-
udp,-,-,-,-,S0,-
tcp,-,0.162787,241,92,OTH,-
tcp,ssl,300.108955,6164,4865,SF,-
tcp,-,-,-,-,SH,-
udp,dns,0.018964,46,62,SF,-
tcp,ssl,27.786720,4773,4865,RSTR,-
udp,dhcp,59.327649,3000,0,S0,-
udp,dns,7.007161,804,0,S0,-
udp,dns,7.007170,804,0,S0,-
udp,dns,7.007171,804,0,S0,-
udp,dhcp,59.146200,3000,0,S0,-
tcp,-,0.234259,0,0,SF,-
tcp,-,0.239786,0,0,SF,-
tcp,http,300.474278,146,775,SF,-
tcp,-,0.241885,0,0,SF,-
udp,dns,0.023676,43,111,SF,-
udp,dns,0.011557,36,68,SF,-
udp,dns,0.003121,36,68,SF,-
tcp,-,-,-,-,SH,-
tcp,http,0.235654,135,238,SF,-
tcp,http,0.246422,157,371,SF,-
tcp,-,-,-,-,SH,-
udp,dns,0.012283,40,56,SF,-
udp,dns,0.010412,40,56,SF,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
icmp,-,0.018164,560,560,OTH,-
udp,-,-,-,-,S0,-
udp,-,-,-,-,S0,-
tcp,-,-,-,-,SH,-
udp,dhcp,58.111737,3000,0,S0,-
udp,dns,0.012046,46,62,SF,-
tcp,ssl,58.276957,5983,4865,RSTR,-
udp,dhcp,59.843658,3000,0,S0,-
tcp,-,0.238507,0,0,SF,-
tcp,-,0.241418,0,0,SF,-
tcp,http,300.426372,146,775,SF,-
tcp,-,0.234004,0,0,SF,-
udp,dns,0.010820,43,111,SF,-
tcp,-,-,-,-,SH,-
tcp,http,0.234174,157,371,SF,-
tcp,-,-,-,-,SH,-
udp,dns,0.010317,40,56,SF,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
icmp,-,0.009561,560,560,OTH,-
udp,-,0.189072,48,48,SF,-
udp,-,-,-,-,S0,-
udp,dhcp,60.438710,3000,0,S0,-
tcp,-,-,-,-,SH,-
udp,dhcp,59.759115,3000,0,S0,-
udp,dns,0.010992,46,62,SF,-
tcp,-,0.239427,0,0,SF,-
tcp,-,0.240395,0,0,SF,-
tcp,http,300.486431,146,775,SF,-
tcp,-,0.242201,0,0,SF,-
udp,dns,0.030560,43,111,SF,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
udp,dhcp,59.425532,3000,0,S0,-
tcp,-,-,-,-,SH,-
tcp,ssl,63.445547,3669,4865,RSTR,-
icmp,-,0.015335,560,560,OTH,-
udp,-,0.187485,48,48,SF,-
udp,-,0.190066,48,48,SF,-
tcp,-,-,-,-,SH,-
udp,dhcp,60.110865,3000,0,S0,-
udp,dns,7.007755,1087,0,S0,-
udp,dns,7.007896,1216,0,S0,-
udp,dns,7.007733,1087,0,S0,-
udp,dhcp,59.460250,3000,0,S0,-
tcp,-,0.259527,0,0,SF,-
tcp,-,0.252768,0,0,SF,-
tcp,http,300.490513,146,775,SF,-
tcp,-,0.245769,0,0,SF,-
udp,dns,0.014092,43,111,SF,-
udp,dns,0.018744,36,68,SF,-
udp,dns,0.005166,36,68,SF,-
tcp,-,-,-,-,SH,-
tcp,http,0.241575,135,238,SF,-
tcp,http,0.242519,157,371,SF,-
tcp,-,-,-,-,SH,-
udp,dns,0.011302,40,56,SF,-
tcp,-,-,-,-,SH,-
tcp,-,-,-,-,SH,-
icmp,-,0.015422,560,560,OTH,-
udp,-,-,-,-,S0,-
udp,-,-,-,-,S0,-
tcp,-,-,-,-,SH,-
udp,dhcp,59.346187,3000,0,S0,-
tcp,-,0.117275,259,110,OTH,-
udp,dhcp,58.570407,3000,0,S0,-
tcp,http,23.416857,146,775,S3,-
tcp,-,0.120302,241,92,OTH,-
tcp,-,0.032080,0,0,SF,-
tcp,http,0.230564,135,238,SF,-
tcp,ssl,2.223281,2715,3769,SF,-
udp,dns,0.012546,43,111,SF,-
udp,dns,0.010488,40,104,SF,-
udp,dns,0.000877,36,68,SF,-
udp,dns,0.116093,40,56,SF,-
udp,dns,0.011365,47,111,SF,-
udp,dns,0.125901,38,54,SF,-
udp,dns,0.010835,37,53,SF,-
udp,dns,0.017181,37,53,SF,-
tcp,http,0.243467,157,371,SF,-
udp,dns,3.817188,1176,0,S0,-
udp,dns,0.016538,64,128,SF,-
tcp,http,0.083062,529,170,SF,-
udp,dns,0.013589,38,87,SF,-
udp,dns,0.011973,48,64,SF,-
udp,dns,0.044247,40,56,SF,-
udp,dns,0.014861,41,57,SF,-
udp,dns,0.055597,44,82,SF,-
tcp,http,0.097178,523,170,SF,-
tcp,ssl,6388.007327,2886842,2064522,RSTR,-
icmp,-,-,-,-,OTH,-
udp,dns,15.753725,844,0,S0,-
udp,dns,15.755765,1738,0,S0,-
udp,dhcp,0.008004,0,600,SHR,-
icmp,-,0.914822,40,0,OTH,-
udp,-,0.011110,48,48,SF,-
udp,-,0.012144,48,48,SF,-
udp,-,-,-,-,S0,-
icmp,-,0.022224,560,560,OTH,-
udp,dns,0.024604,36,143,SF,-
udp,-,-,-,-,S0,-
udp,dns,0.027006,32,48,SF,-
udp,dns,0.011705,46,62,SF,-
udp,dns,0.013167,47,111,SF,-
icmp,-,8.018167,24,0,OTH,-
udp,dns,-,-,-,S0,-
udp,dns,-,-,-,S0,-
tcp,ssl,36.634307,1149,5729,RSTR,-
tcp,ssl,37.038438,1076,5760,RSTR,-
tcp,ssl,36.257362,1042,5861,RSTR,-
tcp,ssl,36.587444,1104,5870,RSTR,-
tcp,http,29.936520,348,958,SF,-
tcp,http,28.149607,185,464,SF,-
icmp,-,28.470004,80,0,OTH,-
tcp,ssl,64.591999,2708,5463,RSTR,-
udp,dns,-,-,-,S0,-
udp,dns,-,-,-,S0,-
tcp,ssl,63.758350,7380,5013,RSTR,-
udp,dhcp,188.262180,6603,0,S0,-
udp,dns,-,-,-,S0,-
udp,dns,-,-,-,S0,-
tcp,ssl,149.162362,2868,4972,RSTR,-
tcp,ssl,163.563015,1642,5379,RSTR,-
udp,dhcp,58.665859,3000,0,S0,-
tcp,ssl,244.752221,213789,5663,SF,-
tcp,ssl,244.629602,114066,5929,SF,-
tcp,ssl,1.243981,3476,5452,S1,-
tcp,-,0.061737,0,0,SF,-
tcp,http,300.424791,438,1550,SF,-
udp,dns,0.017453,46,62,SF,-
udp,dns,0.109057,47,111,SF,-
udp,dns,0.014180,43,111,SF,-
tcp,http,0.239853,157,371,SF,-
tcp,http,0.247687,135,238,SF,-
udp,dns,0.021168,40,56,SF,-
udp,dns,0.017781,40,56,SF,-
icmp,-,0.052603,560,560,OTH,-
udp,-,-,-,-,S0,-
udp,-,-,-,-,S0,-
udp,dns,0.010684,37,53,SF,-
udp,dhcp,59.603969,3000,0,S0,-
tcp,ssl,120.393625,829,5896,S3,-
tcp,http,120.115379,191,189440,S3,-
udp,dns,7.009897,804,0,S0,-
udp,dns,7.009963,804,0,S0,-
udp,dns,7.009973,804,0,S0,-
udp,dhcp,60.081401,3000,0,S0,-
tcp,ssl,299.950757,11118,4865,SF,-
tcp,http,300.199148,292,775,SF,-
tcp,-,0.091211,0,0,SF,-
udp,dns,0.018047,46,62,SF,-
udp,dns,0.011923,47,111,SF,-
udp,dns,0.041290,43,111,SF,-
udp,dns,0.019091,36,68,SF,-
udp,dns,0.014970,36,68,SF,-
tcp,http,0.226669,157,371,SF,-
tcp,http,0.236575,135,238,SF,-
udp,dns,0.011717,40,56,SF,-
tcp,ssl,31.559329,3733,4865,RSTR,-
tcp,ssl,1.030697,3219,5271,S1,-
icmp,-,0.054643,560,560,OTH,-
udp,-,-,-,-,S0,-
udp,-,-,-,-,S0,-
udp,dhcp,58.133510,3000,0,S0,-
udp,dhcp,60.469280,3000,0,S0,-
tcp,http,300.082176,292,775,SF,-
tcp,-,0.027048,0,0,SF,-
udp,dns,0.012560,47,111,SF,-
udp,dns,0.016586,43,111,SF,-
tcp,http,0.234681,157,371,SF,-
tcp,http,0.245195,135,238,SF,-
udp,dns,0.011012,40,56,SF,-
udp,dns,0.010147,40,56,SF,-
udp,dhcp,59.415056,3000,0,S0,-
icmp,-,0.032394,560,560,OTH,-
udp,-,-,-,-,S0,-
udp,-,-,-,-,S0,-
udp,dns,0.011330,46,62,SF,-
tcp,ssl,55.432040,3733,4865,RSTR,-
udp,dhcp,57.935777,3000,0,S0,-
udp,dhcp,59.881633,3000,0,S0,-
tcp,-,0.023392,0,0,SF,-
tcp,http,300.187406,292,775,SF,-
udp,dns,0.014126,47,111,SF,-
udp,dns,0.011145,43,111,SF,-
tcp,http,0.262378,157,371,SF,-
tcp,http,0.288489,135,238,SF,-
udp,dns,0.010576,40,56,SF,-
udp,dns,0.004213,40,56,SF,-
icmp,-,0.036349,560,560,OTH,-
udp,-,-,-,-,S0,-
udp,-,-,-,-,S0,-
udp,dhcp,59.823644,3000,0,S0,-
tcp,-,-,-,-,RSTRH,-
udp,dns,7.009967,804,0,S0,-
udp,dns,7.009980,804,0,S0,-
udp,dns,7.009871,804,0,S0,-
udp,dhcp,58.575428,3000,0,S0,-
tcp,http,300.106402,292,775,SF,-
tcp,-,0.038490,0,0,SF,-
udp,dns,0.012307,47,111,SF,-
udp,dns,0.014053,43,111,SF,-
udp,dns,0.014127,36,68,SF,-
udp,dns,0.014263,36,68,SF,-
tcp,http,0.230592,157,371,SF,-
tcp,http,0.293281,135,238,SF,-
udp,dns,0.012368,40,56,SF,-
udp,dns,0.012445,40,56,SF,-
tcp,-,-,-,-,RSTRH,-
udp,dns,-,-,-,S0,-
udp,dns,-,-,-,S0,-
udp,dns,-,-,-,S0,-
icmp,-,0.022117,560,560,OTH,-
udp,-,-,-,-,S0,-
udp,-,-,-,-,S0,-
udp,dhcp,59.340744,3000,0,S0,-
tcp,ssl,0.865747,1339,6224,SF,-
tcp,ssl,1.020453,1101,62349,SF,-
udp,dns,0.010326,37,53,SF,-
udp,dns,0.021520,58,95,SF,-
udp,dhcp,61.801175,3000,0,S0,-
udp,dns,0.010318,46,62,SF,-
tcp,http,300.156364,292,775,SF,-
tcp,-,0.027260,0,0,SF,-
udp,dns,0.011592,47,111,SF,-
udp,dns,0.020788,43,111,SF,-
tcp,http,0.244039,157,371,SF,-
tcp,http,0.247484,135,238,SF,-
udp,dns,0.011135,40,56,SF,-
udp,dns,0.000468,40,56,SF,-
udp,dhcp,58.820569,3000,0,S0,-
tcp,-,0.119469,241,92,OTH,-
icmp,-,0.030387,560,560,OTH,-
udp,-,-,-,-,S0,-
